,fmales,army,house,econ
210,31,417,27,13
211,31,417,27,13
212,31,417,27,13
213,31,417,27,13
214,31,417,27,13
215,31,418,27,13
216,31,418,27,13
217,31,418,27,13
218,31,418,27,13
219,31,418,27,13
220,31,418,27,13
221,31,418,27,13
222,31,418,27,13
223,31,417,27,13
224,31,417,27,13
225,31,422,27,13
226,31,422,27,13
227,31,422,27,13
228,31,422,27,13
229,31,423,27,13
230,31,423,27,13
231,31,423,27,13
232,31,423,27,13
233,31,423,27,13
234,31,423,27,13
235,31,423,27,13
236,31,423,27,13
237,31,423,27,13
238,31,423,27,13
239,31,423,27,13
240,31,423,27,13
241,31,423,27,13
242,31,424,27,13
243,31,424,27,13
244,31,422,27,13
245,31,421,27,13
246,31,412,27,13
247,31,423,27,13
248,31,414,27,13
249,31,421,27,13
250,31,426,27,13
251,31,426,27,13
252,31,426,27,13
253,31,424,27,13
254,31,424,27,13
255,31,424,27,13
256,31,424,27,13
257,31,424,27,13
258,31,424,27,13
259,31,424,27,13
260,31,424,27,13
261,31,424,27,13
262,31,424,27,13
263,31,424,27,13
264,31,424,27,13
265,31,424,27,13
266,31,424,27,13
267,31,424,27,13
268,31,424,27,13
269,31,424,27,13
270,31,424,27,13
271,31,424,27,13
272,31,424,27,13
273,31,424,27,13
274,31,424,27,13
275,31,424,27,13
276,31,424,27,13
277,31,424,27,13
278,31,424,27,13
279,31,424,27,13
280,31,424,27,13
281,31,424,27,13
282,31,424,27,13
283,31,424,27,13
284,31,424,27,13
285,31,424,27,13
286,31,424,27,13
287,31,424,27,13
288,31,424,27,13
289,31,424,27,13
290,31,424,27,13
291,31,424,27,13
292,31,419,27,13
293,31,411,27,13
294,31,420,27,13
295,31,424,27,12
296,31,421,27,12
297,31,418,27,12
298,31,425,27,12
299,31,425,27,12
300,31,425,27,12
301,31,425,27,12
302,31,425,27,12
303,31,425,27,12
304,31,425,27,12
305,31,421,27,12
306,31,426,27,12
307,31,424,27,12
308,31,424,27,12
309,31,420,27,12
310,29,419,27,12
311,29,422,27,12
312,29,427,27,12
313,29,427,27,12
314,29,427,27,12
315,29,427,27,12
316,29,427,27,12
317,29,427,27,12
318,29,427,27,12
319,29,427,27,12
320,29,427,27,12
321,29,427,27,12
322,29,427,27,12
323,29,427,27,12
324,29,427,27,12
325,29,427,27,12
326,29,427,27,12
327,29,427,27,12
328,29,427,27,12
329,29,427,27,12
330,29,427,27,12
331,29,427,27,12
332,29,427,27,12
333,29,427,27,12
334,29,427,27,12
335,29,425,27,12
336,29,422,27,12
337,29,427,27,12
338,29,427,27,12
339,29,427,27,12
340,29,426,27,12
341,29,422,27,12
342,29,426,27,12
343,29,424,27,12
344,29,417,27,12
345,34,425,27,12
346,34,425,27,12
347,34,425,27,12
348,34,425,27,12
349,34,425,27,12
350,34,425,27,12
351,34,425,27,12
352,34,425,27,12
353,34,425,27,12
354,34,425,27,12
355,34,425,27,12
356,34,425,27,12
